category,crime,gainingType,gainings,group,id,nerveUsed,nnb,outcome,status
drug_deals,cocaine,money,823,drugs,15271,8,35,success,success
drug_deals,cocaine,,,drugs,15348,8,35,blue,ready
drug_deals,cocaine,,,drugs,15349,8,35,blue,ready
drug_deals,cocaine,money,777,drugs,15350,8,35,success,success
drug_deals,cocaine,money,721,drugs,15351,8,35,success,success
drug_deals,amphetamines,money,836,drugs,15404,8,35,success,success
drug_deals,amphetamines,,,drugs,15405,8,35,blue,ready
drug_deals,amphetamines,,,drugs,15406,8,35,blue,ready
drug_deals,amphetamines,money,827,drugs,15407,8,35,success,success
drug_deals,cannabis,money,614,drugs,15472,8,35,success,success
drug_deals,cannabis,money,620,drugs,15473,8,35,success,success
drug_deals,cannabis,,,drugs,15474,8,35,jail,error
drug_deals,cannabis,money,673,drugs,15475,8,35,success,success
drug_deals,cannabis,money,684,drugs,15476,8,35,success,success
drug_deals,cannabis,money,697,drugs,15477,8,35,success,success
